hindi,awadhi
"जहाँ सुजान श्रीसीतारामजी मुनियोंके वृन्दसमेत बैठकर नित्य शास्त्र, वेद और पुराणोंके सब कथा-इतिहास सुनते हैं॥ २३७ ॥",सुनहिं कथा इतिहास सब आगम निगम पुरान॥ २३७ ॥
सखाके वचन सुनकर और वृक्षोंको देखकर भरतजीके नेत्रोंमें जल उमड़ आया। दोनों भाई प्रणाम करते हुए चले। उनके प्रेमका वर्णन करनेमें सरस्वतीजी भी सकुचाती हैं॥ १ ॥,करत प्रनाम चले दोउ भाई। कहत प्रीति सारद सकुचाई॥ १ ॥
श्रीरामचन्द्रजीके चरणचिह्न देखकर दोनों भाई ऐसे हर्षित होते हैं मानों दरिद्र पारस पा गया हो। वहाँकी रजको मस्तकपर रखकर हृदयमें और नेत्रोंमें लगाते हैं और श्रीरघुनाथजीके मिलनेके समान सुख पाते हैं॥ २ ॥,रज सिर धरि हियेँ नयनन्हि लावहिं। रघुबर मिलन सरिस सुख पावहिं॥ २ ॥
"भरतजीकी अत्यन्त अनिर्वचनीय दशा देखकर वनके पशु, पक्षी और जड़ (वृक्षादि) जीव प्रेममें मग्न हो गये। प्रेमके विशेष वश होनेसे सखा निषादराजको भी रास्ता भूल गया। तब देवता सुन्दर रास्ता बतलाकर फूल बरसाने लगे॥ ३ ॥",सखहि सनेह बिबस मग भूला। कहि सुपंथ सुर बरषहिं फूला॥ ३ ॥
"भरतके प्रेमकी इस स्थितिको देखकर सिद्ध और साधकलोग भी अनुरागसे भर गये और उनके स्वाभाविक प्रेमकी प्रशंसा करने लगे कि यदि इस पृथ्वीतलपर भरतका जन्म [अथवा प्रेम] न होता, तो जड़को चेतन और चेतनको जड़ कौन करता ?॥ ४ ॥",होत न भूतल भाउ भरत को। अचर सचर चर अचर करत को॥ ४ ॥
"प्रेम अमृत है, विरह मन्दराचल पर्वत है, भरतजी गहरे समुद्र हैं। कृपाके समुद्र श्रीरामचन्द्रजीने  देवता और साधुओंके हितके लिये स्वयं [इस भरतरूपी गहरे समुद्रको अपने विरहरूपी मन्दराचलसे] मथकर यह प्रेमरूपी अमृत प्रकट किया है॥ २३८ ॥",मथि प्रगटेउ सुर साधु हित कृपासिंधु रघुबीर॥ २३८ ॥
सखा निषादराजसहित इस मनोहर जोड़ीको सघन वनकी आड़के कारण लक्ष्मणजी नहीं देख पाये। भरतजीने प्रभु श्रीरामचन्द्रजीके समस्त सुमड़लोंके धाम और सुन्दर पवित्र आश्रमको देखा॥ १ ॥,भरत दीख प्रभु आश्रमु पावन। सकल सुमंगल सदनु सुहावन॥ १ ॥
"आश्रममें प्रवेश करते ही भरतजीका दुःख और दाह (जलन) मिट गया, मानो योगीको परमार्थ (परमतत्त्व) की प्राप्ति हो गयी हो। भरतजीने देखा कि लक्ष्मणजी प्रभुके आगे खड़े हैं और पूछे हुए वचन प्रेमपूर्वक कह रहे हैं (पूछी हुई बातका प्रेमपूर्वक उत्तर दे रहे हैं)॥ २ ॥",देखे भरत लखन प्रभु आगे। पूछे बचन कहत अनुरागे॥ २ ॥
सिरपर जटा है। कमरमें मुनियोंका (वल्कल) वस्त्र बाँधे हैं और उसीमें तरकस कसे हैं। हाथमें बाण तथा कंधेपर धनुष है। वेदीपर मुनि तथा साधुओंका समुदाय बैठा है और सीताजीसहित श्रीरघुनाथजी विराजमान हैं॥ ३ ॥,बेदी पर मुनि साधु समाजू। सीय सहित राजत रघुराजू॥ ३ ॥
"श्रीरामजीके वलल्‍्कल वस्त्र हैं, जटा धारण किये हैं, श्याम शरीर है [सीतारामजी ऐसे लगते हैं] मानो रति और कामदेवने मुनिका वेष धारण किया हो। श्रीरामजी अपने करकमलोंसे धनुष-बाण फेर रहे हैं, और हँसकर देखते ही जीकी जलन हर लेते हैं (अर्थात्‌ जिसकी ओर भी एक बार हँसकर देख लेते हैं, उसीको परम आनन्द और शान्ति मिल जाती है।)॥ ४ ॥",कर कमलनि धनु सायकु फेरत। जिय की जरनि हरत हँसि हेरत॥ ४ ॥
सुन्दर मुनिमण्डलीके बीचमें सीताजी और रघुकुलचन्द्र श्रीरामचन्द्रजी ऐसे सुशोभित हो रहे हैं मानो ज्ञानकी सभामें साक्षात्‌ भक्ति और सच्चिदानन्द शरीर धारण करके विराजमान हैं॥ २३९ ॥,ग्यान सभा जनु तनु धरें भगति सच्चिदानंदु॥ २३९ ॥
"छोटे भाई शत्रुघ्न और सखा निषादराजसमेत भरतजीका मन [ प्रेममें। मग्न हो रहा है। हर्ष- शोक, सुख-दुःख आदि सब भूल गये। 'हे नाथ ! रक्षा कीजिये, हे गुसाईं ! रक्षा कीजिये' ऐसा कहकर वे पृथ्वीपर दण्डकी तरह गिर पड़े॥ १ ॥",पाहि नाथ कहि पाहि गोसाईं। भूतल परे लकुट की नाईं॥ १ ॥
"प्रेमभरे वचनोंसे लक्ष्मणजीने पहचान लिया और मनमें जान लिया कि भरतजी प्रणाम कर रहे हैं। [वे श्रीरामजीकी ओर मुँह किये खड़े थे, भरतजी पीठ-पीछे थे; इससे उन्होंने देखा नहीं।] अब इस ओर तो भाई भरतजीका सरस प्रेम और उधर स्वामी श्रीरामचन्द्रजीकी सेवाकी प्रबल 'परवशता॥ २ ॥",बंधु सनेह सरस एहि ओरा। उत साहिब सेवा बस जोरा॥ २ ॥
न तो [क्षणभरके लिये भी सेवासे पृथक होकर ] मिलते ही बनता है और न [प्रेमवश] छोड़ते (उपेक्षा करते) ही। कोई श्रेष्ठ कवि ही लक्ष्मणजीके चित्तकी इस गति (दुविधा) का वर्णन कर सकता है। वे सेवापर भार रखकर रह गये (सेवाको ही विशेष महत्त्वपूर्ण समझकर उसीमें लगे रहे) मानो चढ़ी हुई पतंगको खिलाड़ी (पतंग उड़ानेवाला) खींच रहा हो॥ ३ ॥,रहे राखि सेवा पर भारू। चढ़ी चंग जनु खैंच खेलारू॥ ३ ॥
"लक्ष्मणजीने प्रेमसहित पृथ्वीपर मस्तक नवाकर कहा--हे रघुनाथजी ! भरतजी प्रणाम कर रहे हैं। यह सुनते ही श्रीरघुनाथजी प्रेममें अधीर होकर उठे। कहीं वस्त्र गिरा, कहीं तरकस, कहीं धनुष और कहीं बाण॥ ४ ॥",उठे रामु सुनि पेम अधीरा। कहुँ पट कहूँ निषंग धनु तीरा॥ ४ ॥
कृपानिधान श्रीरामचन्द्रजीने उनको जबरदस्ती उठाकर हृदयसे लगा लिया। भरतजी और श्रीरामजीके मिलनेकी रीतिको देखकर सबको अपनी सुध भूल गयी॥ २४० ॥,भरत राम की मिलनि लखि बिसरे सबहि अपान॥ २४० ॥
"मिलनकी प्रीति कैसे बखानी जाय ? वह तो कविकुलके लिये कर्म, मन, वाणी तीनोंसे अगम है। दोनों भाई (भरतजी और श्रीरामजी) मन, बुद्धि, चित्त और अहंकारको भुलाकर परम प्रेमसे पूर्ण हो रहे हैं॥ १ ॥",परम पेम पूरन दोउठ भाईं। मन बुधि चित अहमिति बिसराई॥ १ ॥
"कहिये, उस श्रेष्ठ प्रेमको कौन प्रकट करे? कविकी बुद्धि किसकी छायाका अनुसरण करे? कविको तो अक्षर और अर्थका ही सच्चा बल है। नट तालकी गतिके अनुसार ही नाचता है !॥ २ ॥",कबिहि अरथ आखर बलु साँचा। अनुहरि ताल गतिहि नटु नाचा॥ २ ॥
"भरतजी और श्रीरघुनाथजीका प्रेम अगम्य है, जहाँ ब्रह्मा, विष्णु और महादेवका भी मन नहीं जा सकता। उस प्रेमको मैं कुबुद्धि किस प्रकार कहूँ! भला, गाँडरकी ताँतसे भी कहीं सुन्दर राग बज सकता है ?॥ ३ ॥",सो मैं कुमति कहां केहि भाँती। बाज सुराग कि गाँडर ताँती॥ ३ ॥
"समुझाए सुरगुरु जड़ जागे। बरषि प्रसून प्रसंसन लागे॥ भरतजी और श्रीरामचन्द्रजीके मिलनेका ढंग देखकर देवता भयभीत हो गये, उनकी धुकधुकी धड़कने लगी। देवगुरु बृहस्पतिजीने समझाया, तब कहीं वे मूर्ख चेते और फूल बरसाकर प्रशंसा करने लगे॥ ४ ॥",मिलनि बिलोकि भरत रघुबर की। सुरगन सभय धकधकी धरकी॥ ४ ॥
फिर श्रीरामजी प्रेमके साथ शत्रुघप़त्ने मिलकर तब केवट (निषादराज) से मिले। प्रणाम करते हुए लक्ष्मणजीसे भरतजी बड़े ही प्रेमसे मिले॥ २४१ ॥,भूरि भाये भेंटे भरत लछिमन करत प्रनाम॥ २४१ ॥
तब लक्ष्मणजी ललककर (बड़ी उमंगके साथ) छोटे भाई शत्रुघ्नसे मिले। फिर उन्होंने निषादराजको हृदयसे लगा लिया। फिर भरत-शत्रुघ्न दोनों भाइयोंने [उपस्थित] मुनियोंको प्रणाम किया और इच्छित आशीर्वाद पाकर वे आनन्दित हुए॥ १ ॥,पुनि मुनिगन दुहुँ भाइन्ह बंदे। अभिमत आसिष पाइ अनंदे॥ १ ॥
छोटे भाई शत्रुघ्नसहित भरतजी प्रेममें उमँगकर सीताजीके चरणकमलोंकी रज सिरपर धारणकर बार-बार प्रणाम करने लगे। सीताजीने उन्हें उठाकर उनके सिरको अपने करकमलसे स्पर्शकर (सिरपर हाथ फेरकर) उन दोनोंको बैठाया॥ २ ॥,पुनि पुनि करत प्रनाम उठाए। सिर कर कमल परसि बैठाए॥ २ ॥
"सीताजीने मन-ही-मन आशीर्वाद दिया; क्योंकि वे ख्लेहमें मग्न हैं, उन्हें देहकी सुध-बुध नहीं है। सीताजीको सब प्रकारसे अपने अनुकूल देखकर भरतजी सोचरहित हो गये और उनके हृदयका कल्पित भय जाता रहा॥ ३ ॥",सब बिधि सानुकूल लखि सीता। भे निसोच उर अपडर बीता॥ ३ ॥
"उस समय न तो कोई कुछ कहता है, न कोई कुछ पूछता है। मन प्रेमसे परिपूर्ण है, वह अपनी गतिसे खाली है (अर्थात्‌ संकल्प-विकल्प और चाश्अल्यसे शून्य है)। उस अवसरपर केवट (निषादराज) धीरज धर और हाथ जोड़कर प्रणाम करके विनती करने लगा--॥ ४ ॥",तेहि अवसर केवटु धीरजु धरि। जोरि पानि बिनवत प्रनामु करि॥ ४ ॥
"हे नाथ! मुनिनाथ वसिष्ठजीके साथ सब माताएँ, नगरनिवासी, सेवक, सेनापति, मन्त्री--सब आपके वियोगसे व्याकुल होकर आये हैं॥ २४२ ॥",सेवक सेनप सचिव सब आए बिकल बियोग॥ २४२ ॥
"गुरुका आगमन सुनकर शीलके समुद्र श्रीरामचन्द्रजीने सीताजीके पास शत्रुघ्ननीको रख दिया और वे परम धीर, धर्मधुरन्धर, दीनदयालु श्रीरामचन्द्रजी उसी समय वेगके साथ चल पड़े॥ १ ॥",चले सबेग रामु तेहि काला। धीर धरम धुर दीनदयाला॥ १ ॥
गुरुजीके दर्शन करके लक्ष्मणजीसहित प्रभु श्रीरामचन्द्रजी प्रेममें भर गये और दण्डवत्‌ प्रणाम करने लगे। मुनिश्रेष्ठ वसिष्ठजीने दौड़कर उन्हें हृदयसे लगा लिया और प्रेममें उमँगकर वे दोनों भाइयोंसे मिले॥ २ ॥,मुनिबर धाइ लिए उर लाईं। प्रेम उमगि भेंटे दोड भाई॥ २ ॥
फिर प्रेमसे पुलकित होकर केवट (निषादराज) ने अपना नाम लेकर दूरसे ही वसिष्ठजीको दण्डवत्‌ प्रणाम किया। ऋषि वसिष्ठजीने रामसखा जानकर उसको जबर्दस्ती हृदयसे लगा लिया। मानो जमीनपर लोटते हुए प्रेमको समेट लिया हो॥ ३ ॥,रामसखा रिषि बरबस भेंटा। जनु महि लुठत सनेह समेटा॥ ३ ॥
"श्रीरघुनाथजीकी भक्ति सुन्दर मड्गलोंका मूल है, इस प्रकार कहकर सराहना करते हुए देवता आकाशसे फूल बरसाने लगे। वे कहने लगे--जगतूमें इसके समान सर्वथा नीच कोई नहीं और वसिष्ठजीके समान बड़ा कौन हैं ?॥ ४ ॥",एहि सम निपट नीच कोउ नाहीं। बड़ बसिष्ठ सम को जग माहीं॥ ४ ॥
जिस (निषाद) को देखकर मुनिराज वसिष्ठजी लक्ष्मणजीसे भी अधिक उससे आनन्दित होकर मिले। यह सब सीतापति श्रीरामचन्द्रजीके भजनका प्रत्यक्ष प्रताप और प्रभाव है॥ २४३ ॥,सो सीतापति भजन को प्रगट प्रताप प्रभाउ॥ २४३ ॥
"दयाकी खान, सुजान भगवान्‌ श्रीरामजीने सब लोगोंको दुखी (मिलनेके लिये व्याकुल) जाना। तब जो जिस भावसे मिलनेका अभिलाषी था, उस-उसका उस-उस प्रकारका रुख रखते हुए (उसकी रुचिके अनुसार)॥ १ ॥",जो जेहि भायँ रहा अभिलाषी। तेहि तेहि के तसि तसि रुख राखी॥ १ ॥
उन्होंने लक्ष्मणजीसहित पलभरमें सब किसीसे मिलकर उनके दुःख और कठिन संतापको दूर कर दिया। श्रीरामचन्द्रजीके लिये यह कोई बड़ी बात नहीं है। जैसे करोड़ों घड़ोंमें एक ही सूर्यकी [पृथक्‌ू-पृथक्‌] छाया (प्रतिबिम्ब) एक साथ ही दीखती है॥ २ ॥,यह बड़ि बात राम के नाहीं। जिमि घट कोटि एक रबि छाहीं॥ २ ॥
समस्त पुरवासी प्रेममें उमूँगकर केवटसे मिलकर [उसके] भाग्यकी सराहना करते हैं। श्रीरामचन्द्रजीने सब माताओंको दुखी देखा। मानो सुन्दर लताओंकी पंक्तियोंको पाला मार गया हो॥ ३ ॥,देखीं राम दुखित महतारीं। जनु सुबेलि अवलीं हिम मारीं॥ ३ ॥
"सबसे पहले रामजी कैकेयीसे मिले और अपने सरल स्वभाव तथा भक्तिसे उसकी बुद्धिको तर कर दिया। फिर चरणोंमें गिरकर काल, कर्म और विधाताके सिर दोष मँढ़कर, श्रीरामजीने उनको सान्त्वना दी॥ ४ ॥",पग परि कीन्ह प्रबोधु बहोरी। काल करम बिधि सिर धरि खोरी॥ ४ ॥
"फिर श्रीरघुनाथजी सब माताओंसे मिले। उन्होंने सबको समझा-बुझाकर सनन्‍्तोष कराया कि हे माता! जगत्‌ ईश्वरकके अधीन है, किसीको भी दोष नहीं देना चाहिये॥ २४४ ॥",अंब ईस आधीन जगु काहु न देइअ दोषु॥ २४४ ॥
"फिर दोनों भाइयोंने ब्राह्मणोंकी स्त्रियोंसहित--जो भरतजीके साथ आयी थीं, गुरुजीकी पत्नी अरुन्धतीजीके चरणोंकी वन्दना की और उन सबका गड़ाजी तथा गौरीजीके समान सम्मान किया। वे सब आनन्दित होकर कोमल वाणीसे आशीर्वाद देने लगीं॥ १ ॥",गंग गौरि सम सब सनमानीं। देहिं असीस मुदित मृदु बानीं॥ १ ॥
तब दोनों भाई पैर पकड़कर सुमित्राजीकी गोदमें जा चिपटे। मानो किसी अत्यन्त दरिद्रको सम्पत्तिसे भेंट हो गयी हो। फिर दोनों भाई माता कौसल्याजीके चरणोंमें गिर पड़े। प्रेमके मारे उनके सारे अंग शिथिल हैं॥ २ ॥,पुनि जननी चरननि दोउ भ्राता। परे पेम ब्याकुल सब गाता॥ २ ॥
बड़े ही स्नेहसे माताने उन्हें हृदयसे लगा लिया और नेत्रोंसे बहे हुए प्रेमाश्रुओंके जलसे उन्हें नहला दिया। उस समयके हर्ष और विषादको कवि कैसे कहे ? जैसे गूँगा स्वादको कैसे बतावे ?॥ ३ ॥,तेहि अवसर कर हरष बिषादू। किमि कबि कहै मूक जिमि स्वादू॥ ३ ॥
श्रीरघुनाथजीने छोटे भाई लक्ष्मणजीसहित माता कौसल्यासे मिलकर गुरुसे कहा कि आश्रमपर पधारिये। तदनन्तर मुनीश्वर वसिष्ठजीकी आज्ञा पाकर अयोध्यावासी सब लोग जल और थलका सुभीता देख-देखकर उतर गये॥ ४ ॥,पुरजन पाइ मुनीस नियोगू। जल थल तकि तकि उतरेउ लोगू॥ ४ ॥
"ब्राह्मण, मन्त्री, माताएँ और गुरु आदि गिने-चुने लोगोंको साथ लिये हुए, भरतजी, लक्ष्मणजी और श्रीरघुनाथजी पवित्र आश्रमको चले॥ २४५ ॥",पावन आश्रम गवनु किय भरत लखन रघुनाथ॥ २४५ ॥
"सीताजी आकर मुनिश्रेष्ठ वसिष्ठजीके चरणों लगीं और उन्होंने मनमाँगी उचित आशिष पायी। फिर मुनियोंकी स्त्रियोंसहित गुरुपत्नी अरुन्धतीजीसे मिलीं। उनका जितना प्रेम था, वह कहा नहीं जाता॥ १ ॥",गुरपतिनिहि मुनितियन्ह समेता। मिली पेमु कहि जाइ न जेता॥ १ ॥
"सीताजीने सभीके चरणोंकी अलग-अलग वन्दना करके अपने हृदयको प्रिय (अनुकूल) लगनेवाले आशीर्वाद पाये। जब सुकुमारी सीताजीने सब सासुओंको देखा, तब उन्होंने सहमकर अपनी आँखें बंद कर लीं॥ २ ॥",सासु सकल जब सीयोँ निहारीं। मूदे नयन सहमि सुकुमारीं॥ २ ॥
"[सासुओंकी बुरी दशा देखकर ] उन्हें ऐसा प्रतीत हुआ मानो राजहंसिनियाँ बधिकके वशमें पड़ गयी हों। [मनमें सोचने लगीं कि] कुचाली विधाताने क्या कर डाला? उन्होंने भी सीताजीको देखकर बड़ा दुःख पाया। [सोचा] जो कुछ दैव सहावे, वह सब सहना ही पड़ता है॥ ३ ॥",तिन्‍्ह सिय निरखि निपट दुखु पावा। सो सबु सहिअ जो दैउ सहावा॥ ३ ॥
"तब जानकीजी हृदयमें धीरज धरकर, नील कमलके समान नेत्रोंमें जल भरकर, सब सासुओंसे जाकर मिलीं। उस समय पृथ्वीपर करुणा (करुण-रस) छा गयी॥ ४ ॥",मिली सकल सासुन्ह सिय जाई। तेहि अवसर करुना महि छाईं॥ ४ ॥
"सीताजी सबके पैरों लग-लगकर अत्यन्त प्रेमसे मिल रही हैं, और सब सासुएँ स््नेहवश हृदयसे आशीर्वाद दे रही हैं कि तुम सुहागसे भरी रहो (अर्थात्‌ सदा सौभाग्यवती रहो)॥ २४६ ॥",हृदय असीसहिं पेम बस रहिअहु भरी सोहाग॥ २४६ ॥
"सीताजी और सब रानियाँ स्रेहके मारे व्याकुल हैं। तब ज्ञानी गुरुने सबको बैठ जानेके लिये कहा। फिर मुनिनाथ वसिष्ठजीने जगत्‌की गतिको मायिक कहकर (अर्थात्‌ जगत्‌ मायाका है, इसमें कुछ भी नित्य नहीं है, ऐसा कहकर) कुछ परमार्थकी कथाएँ (बातें) कहीं॥ १ ॥",कहि जग गति मायिक मुनिनाथा। कहे कछुक परमारथ गाथा॥ १ ॥
"तदनन्तर वसिष्ठजीने राजा दशरथजीके स्वर्गगममनकी बात सुनायी, जिसे सुनकर रघुनाथजीने दुःसह दुःख पाया। और अपने प्रति उनके स्नेहको उनके मरनेका कारण विचारकर धीरधुरन्धर श्रीरामचन्द्रजी अत्यन्त व्याकुल हो गये॥ २ ॥",मरन हेतु निज नेहु बिचारी। भे अति बिकल धीर धुर धारी॥ २ ॥
"वज्रके समान कठोर, कड़वी वाणी सुनकर लक्ष्मणजी, सीताजी और सब रानियाँ विलाप करने लगीं। सारा समाज शोकसे अत्यन्त व्याकुल हो गया! मानो राजा आज ही मरे हों॥ ३ ॥",सोक बिकल अति सकल समाजू। मानहूँ राजु अकाजेड आजू॥ ३ ॥
फिर मुनिश्रेष्ठ वसिष्ठजीने श्रीरमजीको समझाया। तब उन्होंने समाजसहित श्रेष्ठ नदी मन्दाकिनीजीमें स्नान किया। उस दिन प्रभु श्रीरामचन्द्रजीने निर्जल ब्रत किया। मुनि वसिष्ठजीके कहनेपर भी किसीने जल ग्रहण नहीं किया॥ ४ ॥,ब्रतु निरंबु तेहि दिन प्रभु कीन्हा। मुनिहु कहें जलु काहुँ न लीन्हा॥ ४ ॥
"दूसरे दिन सबेरा होनेपर मुनि वसिष्ठजीने श्रीरघुनाथजीको जो-जो आज्ञा दी, वह सब कार्य प्रभु श्रीरामचद्धजीने श्रद्धा-भक्तिसहित आदरके साथ किया॥ २४७ ॥",श्रद्धा भगति समेत प्रभु सो सबु सादरु कीन्ह॥ २४७ ॥
"वेदोंमें जैसा कहा गया है, उसीके अनुसार पिताकी क्रिया करके, पापरूपी अन्धकारके नष्ट करनेवाले सूर्यरूप श्रीरामचन्द्रजी शुद्ध हुए! जिनका नाम पापरूपी रूईके [तुरंत जला डालनेके ] लिये अग्नि है; और जिनका स्मरणमात्र समस्त शुभ मड़लोंका मूल है,॥ १ ॥",जासु नाम पावक अघ तूला। सुमिरत सकल सुमंगल मूला॥ १ ॥
"वे [नित्य शुद्ध-बुद्ध] भगवान्‌ श्रीरामजी शुद्ध हुए। साधुओंकी ऐसी सम्मति है कि उनका शुद्ध होना वैसे ही है जैसा तीर्थोके आवाहनसे गड़ाजी शुद्ध होती हैं! (गड़ाजी तो स्वभावसे ही शुद्ध हैं, उनमें जिन तीर्थोका आवाहन किया जाता है उलटे वे ही गड्भाजीके सम्पर्कमें आनेसे शुद्ध हो जाते हैं। इसी प्रकार सच्चिदानन्दरूप श्रीराम तो नित्य शुद्ध हैं, उनके संसर्गसे कर्म ही शुद्ध हो गये।) जब शुद्ध हुए दो दिन बीत गये तब श्रीरामचन्द्रजी प्रीतिके साथ गुरुजीसे बोले--॥ २ ॥",सुद्ध भएँ दुई बासर बीते। बोले गुर सन राम पिरीते॥ २ ॥
"हे नाथ! सब लोग यहाँ अत्यन्त दुखी हो रहे हैं। कन्द, मूल, फल और जलका ही आहार करते हैं। भाई शत्रुघ्नसहित भरतको, मन्त्रियोंको और सब माताओंको देखकर मुझे एक-एक पल युगके समान बीत रहा है॥ ३ ॥",सानुज भरतु सचिव सब माता। देखि मोहि पल जिमि जुग जाता॥ ३ ॥
"अतः सबके साथ आप अयोध्यापुरीको पधारिये (लौट जाइये)। आप यहाँ हैं, और राजा अमरावती (स्वर्ग) में हैं (अयोध्या सूनी है)! मैंने बहुत कह डाला, यह सब बड़ी ढिठाई की है। हे गोसाईं! जैसा उचित हो, वैसा ही कीजिये॥ ४ ॥",बहुत कहेउँ सब किये ढिठाई। उचित होइ तस करिअ गोसाँई॥ ४ ॥
"[वसिष्ठजीने कहा--] हे राम! तुम धर्मके सेतु और दयाके धाम हो, तुम भला ऐसा क्‍यों न कहो ? लोग दुखी हैं। दो दिन तुम्हारा दर्शन कर शान्ति लाभ कर लें॥ २४८ ॥",लोग दुखित दिन दुड् दरस देखि लहहुँ बिश्राम॥ २४८ ॥
"श्रीरामजीके वचन सुनकर सारा समाज भयभीत हो गया। मानो बीच समुद्रमें जहाज डगमगा गया हो। परन्तु जब उन्होंने गुरु वसिष्ठजीकी श्रेष्ठ कल्याणमूलक वाणी सुनी, तो उस जहाजके लिये मानो हवा अनुकूल हो गयी॥ १ ॥",सुनि गुर गिरा सुमंगल मूला। भयउ मनहुँ मारुत अनुकूला॥ १ ॥
"सब लोग पवित्र पयस्विनी नदीमें [अथवा पयस्विनी नदीके पवित्र जलमें] तीनों समय (सबरेरे, दोपहर और सायंकाल) खान करते हैं, जिसके दर्शनसे ही पापोंके समूह नष्ट हो जाते हैं और मड़्लमूर्ति श्रीरामचन्द्रजीको दण्डवत्‌ प्रणाम कर-करके उन्हें नेत्र भर-भरकर देखते हैं॥ २ ॥",मंगलमूरति लोचन भरि भरि। निरखहिं हरषि दंडवत करि करि॥ २ ॥
"सब श्रीरामचन्द्रजीके पर्वत (कामदगिरि) और वनको देखने जाते हैं, जहाँ सभी सुख हें और सभी दुःखोंका अभाव है। झरने अमृतके समान जल झरते हैं और तीन प्रकारकी (शीतल, मन्द, सुगन्ध) हवा तीनों प्रकारके (आध्यात्मिक, आधिभौतिक, आधिदेविक) तापोंको हर लेती है॥ ३ ॥",झरना झरहिं सुधासम बारी। त्रिबिध तापहर त्रिबिध बयारी॥ ३ ॥
"असंख्य जातिके वृक्ष, लताएँ और तृण हैं तथा बहुत तरहके फल, फूल और पत्ते हैं। सुन्दर शिलाएँ हैं। व॒क्षोंकी छाया सुख देनेवाली है। वनकी शोभा किससे वर्णन की जा सकती है ?॥ ४ ॥",सुंदर सिला सुखद तरु छाहीं। जाइ बरनि बन छबि केहि पाहीं॥ ४ ॥
"तालाबोंमें कमल खिल रहे हैं, जलके पक्षी कूज रहे हैं, भौरे गुंजार कर रहे हैं और बहुत रंगोंके पक्षी और पशु वनमें वैररहित होकर विहार कर रहे हैं॥ २४९ ॥",बैर बिगत बिहरत बिपिन मृग बिहंग बहुरंग॥ २४९ ॥
"कोल, किरात और भील आदि वनके रहनेवाले लोग पवित्र, सुन्दर एवं अमृतके समान स्वादिष्ट मधु (शहद) को सुन्दर दोने बनाकर और उनमें भर-भरकर तथा कन्द, मूल, फल और अंकुर आदिकी जूड़ियों (अँटियों) को॥ १ ॥",भरि भरि परन पुटीं रचि रूरी। कंद मूल फल अंकुर जूरी॥ १ ॥
"सबको विनय और प्रणाम करके उन चीजोंके अलग-अलग स्वाद, भेद (प्रकार), गुण और नाम बता-बताकर देते हैं। लोग उनका बहुत दाम देते हैं, पर वे नहीं लेते और लौटा देनेमें श्रीरामजीकी दुहाई देते हैं॥ २ ॥",देहिं लोग बहु मोल न लेहीं। फेरतः राम दोहाई देहीं॥ २ ॥
"प्रेममें मग्र हुए वे कोमल वाणीसे कहते हैं कि साधु लोग प्रेमको पहचानकर उसका सम्मान करते हैं (अर्थात्‌ आप साधु हैं, आप हमारे प्रेमको देखिये, दाम देकर या वस्तुएँ लौटाकर हमारे प्रेमका तिरस्कार न कीजिये)। आप तो पुण्यात्मा हैं, हम नीच निषाद हैं। श्रीगरमजीकी कृपासे ही हमने आपलोगोंके दर्शन पाये हैं॥ ३ ॥",तुम्ह सुकृती हम नीच निषादा। पावा दरसनु राम प्रसादा॥ ३ ॥
"हमलोगोंको आपके दर्शन बड़े ही दुर्लभ हैं, जैसे मरुभूमिके लिये गड्भाजीकी धारा दुर्लभ है! [देखिये, ] कृपालु श्रीरामचन्द्रजीने निषादपर कैसी कृपा की है। जैसे राजा हैं वैसा ही उनके परिवार और प्रजाको भी होना चाहिये॥ ४ ॥",राम कृपाल निषाद नेवाजा। परिजन प्रजठउ चहिअ जस राजा॥ ४ ॥
"हृदयमें ऐसा जानकर संकोच छोड़कर और हमारा प्रेम देखकर कृपा कीजिये और हमको कृतार्थ करनेके लिये ही फल, तृण और अंकुर लीजिये॥ २५० ॥",हमहि कृतारथ करन लगि फल तृन अंकुर लेहु॥ २५० ॥
"आप प्रिय पाहुने वनमें पधारे हैं। आपकी सेवा करनेके योग्य हमारे भाग्य नहीं हैं। हे स्वामी ! हम आपको कया देंगे? भीलोंकी मित्रता तो बस, ईंधन (लकड़ी) और पत्तोंहीतक है॥ १ ॥",देब काह हम तुम्हहि गोसाँई। ईंधनु पात किरात मिताई॥ १ ॥
"हमारी तो यही बड़ी भारी सेवा है कि हम आपके कपड़े और बर्तन नहीं चुरा लेते। हमलोग जड़ जीव हैं, जीवोंकी हिंसा करनेवाले हैं, कुटिल, कुचाली, कुबुद्धि और कुजाति हैं॥ २ ॥",हम जड़ जीव जीव गन घाती। कुटिल कुचाली कुमति कुजाती॥ २ ॥
हमारे दिन-रात पाप करते ही बीतते हैं। तो भी न तो हमारी कमरमें कपड़ा है और न पेट ही भरते हैं। हममें स्वप्रमें भी कभी धर्मबुद्धि कैसी? यह सब तो श्रीरघुनाथजीके दर्शनका प्रभाव है॥ ३ ॥,सपनेहूँ धरमबुद्धि कस काऊ। यह रघुनंदन दरस प्रभाऊ॥ ३ ॥
"जबसे प्रभुके चरणकमल देखे, तबसे हमारे दुःसह दुःख और दोष मिट गये। वनवासियोंके वचन सुनकर अयोध्याके लोग प्रेममें भर गये और उनके भाग्यकी सराहना करने लगे॥ ४ ॥",बचन सुनत पुरजन अनुरागे। तिन्‍हह के भाग सराहन लागे॥ ४ ॥
